[SafePPO seed=2] Ep   5 | ret -173.81 | cost  0.00 | lam  0.905 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  10 | ret -171.93 | cost  0.00 | lam  0.820 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  15 | ret -179.54 | cost  0.00 | lam  0.744 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  20 | ret -165.29 | cost  0.00 | lam  0.677 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  25 | ret -176.25 | cost  0.00 | lam  0.618 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  30 | ret -172.53 | cost  0.00 | lam  0.566 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  35 | ret -169.75 | cost  0.00 | lam  0.520 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  40 | ret -171.92 | cost  0.00 | lam  0.480 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  45 | ret -166.74 | cost  0.00 | lam  0.444 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  50 | ret -166.74 | cost  0.00 | lam  0.413 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  55 | ret -166.26 | cost  0.00 | lam  0.385 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  60 | ret -171.00 | cost  0.00 | lam  0.360 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  65 | ret -165.93 | cost  0.00 | lam  0.337 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  70 | ret -167.24 | cost  0.00 | lam  0.317 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  75 | ret -161.17 | cost  0.00 | lam  0.299 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  80 | ret -154.15 | cost  0.00 | lam  0.282 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  85 | ret -147.84 | cost  0.00 | lam  0.267 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  90 | ret -146.82 | cost  0.00 | lam  0.253 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  95 | ret -146.27 | cost  0.00 | lam  0.240 | solved 0.00 | viol 0
[SafePPO seed=2] Ep 100 | ret -129.24 | cost  3.95 | lam  0.229 | solved 0.00 | viol 121
[SafePPO seed=2] Ep 105 | ret  -55.41 | cost 31.79 | lam  0.219 | solved 0.43 | viol 611
[SafePPO seed=2] Ep 110 | ret   -9.47 | cost 41.56 | lam  0.214 | solved 0.79 | viol 894
[SafePPO seed=2] Ep 115 | ret    5.78 | cost 47.67 | lam  0.211 | solved 0.88 | viol 1027
[SafePPO seed=2] Ep 120 | ret   23.00 | cost 52.29 | lam  0.212 | solved 1.00 | viol 1146
[SafePPO seed=2] Ep 125 | ret   18.33 | cost 56.51 | lam  0.215 | solved 0.96 | viol 1205
[SafePPO seed=2] Ep 130 | ret   26.60 | cost 59.10 | lam  0.220 | solved 1.00 | viol 1299
[SafePPO seed=2] Ep 135 | ret   29.14 | cost 59.32 | lam  0.227 | solved 1.00 | viol 1346
[SafePPO seed=2] Ep 140 | ret   28.50 | cost 56.27 | lam  0.235 | solved 0.96 | viol 1263
[SafePPO seed=2] Ep 145 | ret   34.16 | cost 51.54 | lam  0.244 | solved 1.00 | viol 1243
[SafePPO seed=2] Ep 150 | ret   35.37 | cost 54.45 | lam  0.254 | solved 1.00 | viol 1235
[SafePPO seed=2] Ep 155 | ret   38.69 | cost 43.92 | lam  0.265 | solved 1.00 | viol 1082
[SafePPO seed=2] Ep 160 | ret   35.19 | cost 46.44 | lam  0.276 | solved 0.97 | viol 1128
[SafePPO seed=2] Ep 165 | ret   31.94 | cost 44.45 | lam  0.287 | solved 0.94 | viol 1066
[SafePPO seed=2] Ep 170 | ret   34.34 | cost 43.91 | lam  0.298 | solved 0.97 | viol 1056
[SafePPO seed=2] Ep 175 | ret   40.26 | cost 41.80 | lam  0.310 | solved 1.00 | viol 1053
[SafePPO seed=2] Ep 180 | ret   39.21 | cost 43.90 | lam  0.322 | solved 1.00 | viol 1095
[SafePPO seed=2] Ep 185 | ret   39.58 | cost 48.43 | lam  0.337 | solved 1.00 | viol 1130
[SafePPO seed=2] Ep 190 | ret   40.10 | cost 36.33 | lam  0.353 | solved 1.00 | viol 997
[SafePPO seed=2] Ep 195 | ret   40.27 | cost 37.50 | lam  0.371 | solved 1.00 | viol 1001
[SafePPO seed=2] Ep 200 | ret   41.20 | cost 34.72 | lam  0.388 | solved 1.00 | viol 1001
