[SafePPO seed=1] Ep   5 | ret -173.02 | cost  0.00 | lam  0.780 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  10 | ret -166.58 | cost  0.00 | lam  0.612 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  15 | ret -163.70 | cost  0.00 | lam  0.487 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  20 | ret -164.43 | cost  0.00 | lam  0.394 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  25 | ret -160.68 | cost  0.00 | lam  0.324 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  30 | ret -156.05 | cost  0.00 | lam  0.271 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  35 | ret -158.65 | cost  0.00 | lam  0.231 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  40 | ret -155.02 | cost  0.00 | lam  0.200 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  45 | ret -156.33 | cost  0.00 | lam  0.176 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  50 | ret -157.89 | cost  0.00 | lam  0.156 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  55 | ret -155.42 | cost  0.00 | lam  0.140 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  60 | ret -150.22 | cost  0.00 | lam  0.127 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  65 | ret -154.69 | cost  0.00 | lam  0.116 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  70 | ret -155.32 | cost  0.00 | lam  0.107 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  75 | ret -149.35 | cost  0.00 | lam  0.098 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  80 | ret -151.98 | cost  0.00 | lam  0.091 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  85 | ret -151.40 | cost  0.00 | lam  0.085 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  90 | ret -147.28 | cost  0.00 | lam  0.080 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  95 | ret -146.96 | cost  0.00 | lam  0.075 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 100 | ret -148.84 | cost  0.00 | lam  0.070 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 105 | ret -148.75 | cost  0.00 | lam  0.066 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 110 | ret -145.47 | cost  0.00 | lam  0.063 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 115 | ret -147.48 | cost  0.00 | lam  0.059 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 120 | ret -141.35 | cost  0.00 | lam  0.056 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 125 | ret -118.00 | cost  1.32 | lam  0.054 | solved 0.10 | viol 101
[SafePPO seed=1] Ep 130 | ret  -41.43 | cost 12.87 | lam  0.051 | solved 0.65 | viol 438
[SafePPO seed=1] Ep 135 | ret  -35.00 | cost 23.44 | lam  0.049 | solved 0.70 | viol 605
[SafePPO seed=1] Ep 140 | ret   -8.16 | cost 21.42 | lam  0.048 | solved 0.83 | viol 598
[SafePPO seed=1] Ep 145 | ret   24.22 | cost 28.41 | lam  0.047 | solved 0.93 | viol 734
[SafePPO seed=1] Ep 150 | ret   32.54 | cost 41.43 | lam  0.046 | solved 1.00 | viol 927
[SafePPO seed=1] Ep 155 | ret   42.80 | cost 30.21 | lam  0.046 | solved 1.00 | viol 809
[SafePPO seed=1] Ep 160 | ret   46.28 | cost 28.87 | lam  0.046 | solved 1.00 | viol 813
[SafePPO seed=1] Ep 165 | ret   43.89 | cost 33.86 | lam  0.046 | solved 1.00 | viol 842
[SafePPO seed=1] Ep 170 | ret   47.05 | cost 29.85 | lam  0.046 | solved 1.00 | viol 911
[SafePPO seed=1] Ep 175 | ret   47.45 | cost 30.17 | lam  0.046 | solved 1.00 | viol 856
[SafePPO seed=1] Ep 180 | ret   49.52 | cost 27.29 | lam  0.047 | solved 1.00 | viol 834
[SafePPO seed=1] Ep 185 | ret   45.91 | cost 35.24 | lam  0.047 | solved 1.00 | viol 893
[SafePPO seed=1] Ep 190 | ret   48.77 | cost 24.67 | lam  0.047 | solved 1.00 | viol 813
[SafePPO seed=1] Ep 195 | ret   48.36 | cost 22.99 | lam  0.047 | solved 1.00 | viol 767
[SafePPO seed=1] Ep 200 | ret   45.67 | cost 28.97 | lam  0.047 | solved 1.00 | viol 882
[SafePPO seed=1] Ep 205 | ret   48.95 | cost 24.61 | lam  0.048 | solved 1.00 | viol 823
[SafePPO seed=1] Ep 210 | ret   49.24 | cost 18.01 | lam  0.048 | solved 1.00 | viol 757
[SafePPO seed=1] Ep 215 | ret   48.15 | cost 20.71 | lam  0.048 | solved 1.00 | viol 778
[SafePPO seed=1] Ep 220 | ret   50.18 | cost 13.23 | lam  0.048 | solved 1.00 | viol 666
