[SafePPO seed=0] Ep   5 | ret -175.04 | cost  0.00 | lam  0.317 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  10 | ret -168.72 | cost  0.00 | lam  0.273 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  15 | ret -163.87 | cost  0.00 | lam  0.237 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  20 | ret -158.86 | cost  0.00 | lam  0.207 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  25 | ret -153.70 | cost  0.00 | lam  0.181 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  30 | ret -151.54 | cost  0.00 | lam  0.160 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  35 | ret -151.50 | cost  0.00 | lam  0.143 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  40 | ret -149.53 | cost  0.00 | lam  0.128 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  45 | ret -149.99 | cost  0.00 | lam  0.116 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  50 | ret -149.30 | cost  0.00 | lam  0.106 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  55 | ret -153.80 | cost  0.00 | lam  0.097 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  60 | ret -149.41 | cost  0.00 | lam  0.089 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  65 | ret -148.79 | cost  0.00 | lam  0.082 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  70 | ret -138.98 | cost  0.00 | lam  0.076 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  75 | ret -130.49 | cost  0.46 | lam  0.071 | solved 0.00 | viol 47
[SafePPO seed=0] Ep  80 | ret  -49.76 | cost 10.96 | lam  0.066 | solved 0.55 | viol 433
[SafePPO seed=0] Ep  85 | ret  -14.31 | cost 18.35 | lam  0.063 | solved 0.86 | viol 596
[SafePPO seed=0] Ep  90 | ret   -6.08 | cost 24.60 | lam  0.060 | solved 0.90 | viol 697
[SafePPO seed=0] Ep  95 | ret   14.66 | cost 33.06 | lam  0.058 | solved 0.88 | viol 801
[SafePPO seed=0] Ep 100 | ret   31.15 | cost 25.51 | lam  0.057 | solved 1.00 | viol 726
[SafePPO seed=0] Ep 105 | ret   30.88 | cost 42.14 | lam  0.056 | solved 0.96 | viol 910
[SafePPO seed=0] Ep 110 | ret   44.63 | cost 25.51 | lam  0.056 | solved 1.00 | viol 798
[SafePPO seed=0] Ep 115 | ret   41.59 | cost 41.38 | lam  0.056 | solved 1.00 | viol 966
[SafePPO seed=0] Ep 120 | ret   46.72 | cost 28.77 | lam  0.056 | solved 1.00 | viol 812
[SafePPO seed=0] Ep 125 | ret   50.95 | cost 19.33 | lam  0.057 | solved 1.00 | viol 732
[SafePPO seed=0] Ep 130 | ret   45.24 | cost 30.94 | lam  0.057 | solved 1.00 | viol 866
[SafePPO seed=0] Ep 135 | ret   47.92 | cost 21.35 | lam  0.057 | solved 1.00 | viol 757
[SafePPO seed=0] Ep 140 | ret   53.28 | cost 16.53 | lam  0.058 | solved 1.00 | viol 643
