[SafePPO seed=1] Ep   5 | ret -173.02 | cost  0.00 | lam  0.317 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  10 | ret -166.58 | cost  0.00 | lam  0.273 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  15 | ret -163.70 | cost  0.00 | lam  0.237 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  20 | ret -164.43 | cost  0.00 | lam  0.207 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  25 | ret -160.68 | cost  0.00 | lam  0.181 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  30 | ret -156.05 | cost  0.00 | lam  0.160 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  35 | ret -158.65 | cost  0.00 | lam  0.143 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  40 | ret -155.02 | cost  0.00 | lam  0.128 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  45 | ret -156.33 | cost  0.00 | lam  0.116 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  50 | ret -157.89 | cost  0.00 | lam  0.106 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  55 | ret -155.42 | cost  0.00 | lam  0.097 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  60 | ret -150.22 | cost  0.00 | lam  0.089 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  65 | ret -154.69 | cost  0.00 | lam  0.082 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  70 | ret -155.32 | cost  0.00 | lam  0.076 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  75 | ret -149.35 | cost  0.00 | lam  0.071 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  80 | ret -151.98 | cost  0.00 | lam  0.066 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  85 | ret -151.40 | cost  0.00 | lam  0.062 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  90 | ret -147.28 | cost  0.00 | lam  0.058 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  95 | ret -146.96 | cost  0.00 | lam  0.055 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 100 | ret -148.84 | cost  0.00 | lam  0.052 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 105 | ret -148.75 | cost  0.00 | lam  0.049 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 110 | ret -145.47 | cost  0.00 | lam  0.047 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 115 | ret -147.48 | cost  0.00 | lam  0.044 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 120 | ret -141.35 | cost  0.00 | lam  0.042 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 125 | ret -118.38 | cost  1.04 | lam  0.040 | solved 0.10 | viol 88
[SafePPO seed=1] Ep 130 | ret  -39.27 | cost 13.64 | lam  0.039 | solved 0.65 | viol 470
[SafePPO seed=1] Ep 135 | ret   -5.98 | cost 36.31 | lam  0.037 | solved 0.86 | viol 837
[SafePPO seed=1] Ep 140 | ret   15.49 | cost 29.47 | lam  0.036 | solved 0.96 | viol 783
[SafePPO seed=1] Ep 145 | ret   33.10 | cost 28.13 | lam  0.036 | solved 1.00 | viol 734
[SafePPO seed=1] Ep 150 | ret   37.19 | cost 41.71 | lam  0.036 | solved 1.00 | viol 915
[SafePPO seed=1] Ep 155 | ret   44.77 | cost 29.52 | lam  0.036 | solved 1.00 | viol 797
[SafePPO seed=1] Ep 160 | ret   44.08 | cost 33.89 | lam  0.036 | solved 1.00 | viol 886
[SafePPO seed=1] Ep 165 | ret   43.63 | cost 35.62 | lam  0.036 | solved 1.00 | viol 913
[SafePPO seed=1] Ep 170 | ret   45.96 | cost 28.30 | lam  0.036 | solved 1.00 | viol 877
[SafePPO seed=1] Ep 175 | ret   43.59 | cost 37.38 | lam  0.037 | solved 1.00 | viol 924
[SafePPO seed=1] Ep 180 | ret   45.79 | cost 30.38 | lam  0.037 | solved 1.00 | viol 897
[SafePPO seed=1] Ep 185 | ret   45.66 | cost 33.43 | lam  0.037 | solved 1.00 | viol 906
[SafePPO seed=1] Ep 190 | ret   50.27 | cost 22.28 | lam  0.037 | solved 1.00 | viol 800
[SafePPO seed=1] Ep 195 | ret   48.17 | cost 22.64 | lam  0.038 | solved 1.00 | viol 798
[SafePPO seed=1] Ep 200 | ret   48.51 | cost 26.68 | lam  0.038 | solved 1.00 | viol 841
[SafePPO seed=1] Ep 205 | ret   52.51 | cost 17.30 | lam  0.038 | solved 1.00 | viol 691
[SafePPO seed=1] Ep 210 | ret   48.12 | cost 21.95 | lam  0.038 | solved 1.00 | viol 774
[SafePPO seed=1] Ep 215 | ret   50.02 | cost 20.98 | lam  0.038 | solved 1.00 | viol 802
[SafePPO seed=1] Ep 220 | ret   48.38 | cost 24.98 | lam  0.038 | solved 1.00 | viol 858
[SafePPO seed=1] Ep 225 | ret   49.59 | cost 23.63 | lam  0.038 | solved 1.00 | viol 802
[SafePPO seed=1] Ep 230 | ret   50.80 | cost 20.08 | lam  0.037 | solved 1.00 | viol 737
[SafePPO seed=1] Ep 235 | ret   44.00 | cost 32.88 | lam  0.037 | solved 1.00 | viol 956
[SafePPO seed=1] Ep 240 | ret   47.28 | cost 25.87 | lam  0.037 | solved 1.00 | viol 884
[SafePPO seed=1] Ep 245 | ret   50.97 | cost 17.49 | lam  0.037 | solved 1.00 | viol 681
[SafePPO seed=1] Ep 250 | ret   50.80 | cost 19.76 | lam  0.036 | solved 1.00 | viol 733
[SafePPO seed=1] Ep 255 | ret   46.80 | cost 21.54 | lam  0.036 | solved 1.00 | viol 812
[SafePPO seed=1] Ep 260 | ret   48.25 | cost 20.39 | lam  0.035 | solved 1.00 | viol 748
[SafePPO seed=1] Ep 265 | ret   49.60 | cost 12.61 | lam  0.035 | solved 1.00 | viol 681
[SafePPO seed=1] Ep 270 | ret   50.14 | cost 11.37 | lam  0.034 | solved 1.00 | viol 646
[SafePPO seed=1] Ep 275 | ret   44.25 | cost 22.38 | lam  0.033 | solved 1.00 | viol 828
[SafePPO seed=1] Ep 280 | ret   47.81 | cost 15.81 | lam  0.033 | solved 1.00 | viol 702
[SafePPO seed=1] Ep 285 | ret   52.00 | cost  8.51 | lam  0.032 | solved 1.00 | viol 550
[SafePPO seed=1] Ep 290 | ret   48.56 | cost 10.73 | lam  0.031 | solved 1.00 | viol 611
[SafePPO seed=1] Ep 295 | ret   46.86 | cost 15.63 | lam  0.030 | solved 1.00 | viol 663
[SafePPO seed=1] Ep 300 | ret   46.37 | cost 15.63 | lam  0.030 | solved 1.00 | viol 696
[SafePPO seed=1] done in 342.4s -> /Users/edwarb/projects/uni-project/deep-learning/finalproject-rl/DL/mountaincar-safe-rl/results/safe_S21/seed_1
