[SafePPO seed=1] Ep   5 | ret -173.02 | cost  0.00 | lam  0.905 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  10 | ret -166.58 | cost  0.00 | lam  0.820 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  15 | ret -163.70 | cost  0.00 | lam  0.744 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  20 | ret -164.43 | cost  0.00 | lam  0.677 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  25 | ret -160.68 | cost  0.00 | lam  0.618 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  30 | ret -156.05 | cost  0.00 | lam  0.566 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  35 | ret -158.65 | cost  0.00 | lam  0.520 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  40 | ret -155.02 | cost  0.00 | lam  0.480 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  45 | ret -156.33 | cost  0.00 | lam  0.444 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  50 | ret -157.89 | cost  0.00 | lam  0.413 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  55 | ret -155.42 | cost  0.00 | lam  0.385 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  60 | ret -150.22 | cost  0.00 | lam  0.360 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  65 | ret -154.69 | cost  0.00 | lam  0.337 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  70 | ret -155.32 | cost  0.00 | lam  0.317 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  75 | ret -149.35 | cost  0.00 | lam  0.299 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  80 | ret -151.98 | cost  0.00 | lam  0.282 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  85 | ret -151.40 | cost  0.00 | lam  0.267 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  90 | ret -147.28 | cost  0.00 | lam  0.253 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  95 | ret -146.96 | cost  0.00 | lam  0.240 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 100 | ret -148.84 | cost  0.00 | lam  0.229 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 105 | ret -148.75 | cost  0.00 | lam  0.218 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 110 | ret -145.47 | cost  0.00 | lam  0.208 | solved 0.00 | viol 0
