[SafePPO seed=1] Ep   5 | ret -173.02 | cost  0.00 | lam  0.861 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  10 | ret -166.58 | cost  0.00 | lam  0.743 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  15 | ret -163.70 | cost  0.00 | lam  0.644 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  20 | ret -164.43 | cost  0.00 | lam  0.562 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  25 | ret -160.68 | cost  0.00 | lam  0.493 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  30 | ret -156.05 | cost  0.00 | lam  0.436 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  35 | ret -158.65 | cost  0.00 | lam  0.389 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  40 | ret -155.02 | cost  0.00 | lam  0.349 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  45 | ret -156.33 | cost  0.00 | lam  0.315 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  50 | ret -157.89 | cost  0.00 | lam  0.287 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  55 | ret -155.42 | cost  0.00 | lam  0.263 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  60 | ret -150.22 | cost  0.00 | lam  0.241 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  65 | ret -154.69 | cost  0.00 | lam  0.223 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  70 | ret -155.32 | cost  0.00 | lam  0.207 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  75 | ret -149.35 | cost  0.00 | lam  0.193 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  80 | ret -151.98 | cost  0.00 | lam  0.180 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  85 | ret -151.40 | cost  0.00 | lam  0.169 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  90 | ret -147.28 | cost  0.00 | lam  0.159 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  95 | ret -146.96 | cost  0.00 | lam  0.150 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 100 | ret -148.84 | cost  0.00 | lam  0.142 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 105 | ret -148.75 | cost  0.00 | lam  0.134 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 110 | ret -145.47 | cost  0.00 | lam  0.127 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 115 | ret -147.48 | cost  0.00 | lam  0.121 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 120 | ret -141.35 | cost  0.00 | lam  0.115 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 125 | ret -117.97 | cost  1.06 | lam  0.110 | solved 0.10 | viol 90
