[SafePPO seed=1] Ep 140 | ret   16.59 | cost 31.00 | lam  0.027 | solved 0.96 | viol 752
[SafePPO seed=1] Ep 145 | ret   25.58 | cost 37.81 | lam  0.027 | solved 1.00 | viol 858
[SafePPO seed=1] Ep 150 | ret   40.77 | cost 30.89 | lam  0.027 | solved 1.00 | viol 773
[SafePPO seed=1] done in 312.1s -> E:\DL\mountaincar-safe-rl\results\safe_ppo\seed_1
[SafePPO seed=2] Ep   5 | ret -173.81 | cost  0.00 | lam  0.049 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  10 | ret -171.88 | cost  0.00 | lam  0.047 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  15 | ret -179.44 | cost  0.00 | lam  0.046 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  20 | ret -164.33 | cost  0.00 | lam  0.045 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  25 | ret -173.87 | cost  0.00 | lam  0.044 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  30 | ret -175.19 | cost  0.00 | lam  0.043 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  35 | ret -170.42 | cost  0.00 | lam  0.042 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  40 | ret -170.52 | cost  0.00 | lam  0.041 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  45 | ret -164.04 | cost  0.00 | lam  0.040 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  50 | ret -160.39 | cost  0.05 | lam  0.039 | solved 0.00 | viol 6
[SafePPO seed=2] Ep  55 | ret -161.27 | cost  0.00 | lam  0.038 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  60 | ret -164.72 | cost  0.00 | lam  0.037 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  65 | ret -160.82 | cost  0.00 | lam  0.036 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  70 | ret -161.46 | cost  0.00 | lam  0.036 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  75 | ret -156.01 | cost  0.06 | lam  0.035 | solved 0.00 | viol 5
