[SafePPO seed=0] Ep   5 | ret -175.04 | cost  0.00 | lam  0.287 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  10 | ret -168.72 | cost  0.00 | lam  0.225 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  15 | ret -163.87 | cost  0.00 | lam  0.179 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  20 | ret -158.86 | cost  0.00 | lam  0.145 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  25 | ret -153.70 | cost  0.00 | lam  0.119 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  30 | ret -151.54 | cost  0.00 | lam  0.100 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  35 | ret -151.50 | cost  0.00 | lam  0.085 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  40 | ret -149.53 | cost  0.00 | lam  0.074 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  45 | ret -149.99 | cost  0.00 | lam  0.065 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  50 | ret -149.30 | cost  0.00 | lam  0.057 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  55 | ret -153.80 | cost  0.00 | lam  0.052 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  60 | ret -149.41 | cost  0.00 | lam  0.047 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  65 | ret -148.79 | cost  0.00 | lam  0.043 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  70 | ret -138.98 | cost  0.00 | lam  0.039 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  75 | ret -130.36 | cost  0.39 | lam  0.036 | solved 0.00 | viol 47
[SafePPO seed=0] Ep  80 | ret  -55.66 | cost  9.96 | lam  0.034 | solved 0.50 | viol 423
[SafePPO seed=0] Ep  85 | ret  -31.89 | cost 18.04 | lam  0.032 | solved 0.70 | viol 549
[SafePPO seed=0] Ep  90 | ret   -6.66 | cost 22.62 | lam  0.030 | solved 0.90 | viol 645
[SafePPO seed=0] Ep  95 | ret    4.86 | cost 28.47 | lam  0.029 | solved 0.88 | viol 695
[SafePPO seed=0] Ep 100 | ret   21.84 | cost 35.45 | lam  0.029 | solved 0.92 | viol 806
[SafePPO seed=0] Ep 105 | ret   40.92 | cost 34.45 | lam  0.028 | solved 1.00 | viol 837
[SafePPO seed=0] Ep 110 | ret   45.61 | cost 23.68 | lam  0.028 | solved 1.00 | viol 791
[SafePPO seed=0] Ep 115 | ret   45.65 | cost 32.18 | lam  0.028 | solved 1.00 | viol 821
[SafePPO seed=0] Ep 120 | ret   48.53 | cost 25.55 | lam  0.028 | solved 1.00 | viol 750
[SafePPO seed=0] Ep 125 | ret   49.59 | cost 21.70 | lam  0.028 | solved 1.00 | viol 769
[SafePPO seed=0] Ep 130 | ret   46.75 | cost 26.35 | lam  0.028 | solved 1.00 | viol 820
[SafePPO seed=0] Ep 135 | ret   48.90 | cost 23.06 | lam  0.028 | solved 1.00 | viol 776
[SafePPO seed=0] Ep 140 | ret   53.71 | cost 16.04 | lam  0.028 | solved 1.00 | viol 674
[SafePPO seed=0] Ep 145 | ret   45.52 | cost 24.54 | lam  0.028 | solved 1.00 | viol 825
[SafePPO seed=0] Ep 150 | ret   47.19 | cost 27.48 | lam  0.028 | solved 1.00 | viol 818
[SafePPO seed=0] Ep 155 | ret   48.88 | cost 16.32 | lam  0.028 | solved 1.00 | viol 720
[SafePPO seed=0] Ep 160 | ret   50.64 | cost 19.56 | lam  0.028 | solved 1.00 | viol 733
[SafePPO seed=0] Ep 165 | ret   50.28 | cost 13.11 | lam  0.027 | solved 1.00 | viol 658
[SafePPO seed=0] Ep 170 | ret   49.17 | cost 12.48 | lam  0.027 | solved 1.00 | viol 624
[SafePPO seed=0] Ep 175 | ret   51.84 | cost 13.32 | lam  0.026 | solved 1.00 | viol 624
[SafePPO seed=0] Ep 180 | ret   51.50 | cost  8.71 | lam  0.026 | solved 1.00 | viol 531
[SafePPO seed=0] Ep 185 | ret   50.60 | cost 13.40 | lam  0.025 | solved 1.00 | viol 659
[SafePPO seed=0] Ep 190 | ret   50.41 | cost 16.15 | lam  0.024 | solved 1.00 | viol 671
[SafePPO seed=0] Ep 195 | ret   49.03 | cost 17.48 | lam  0.023 | solved 1.00 | viol 720
[SafePPO seed=0] Ep 200 | ret   46.48 | cost 17.94 | lam  0.023 | solved 1.00 | viol 682
[SafePPO seed=0] Ep 205 | ret   50.32 | cost 18.20 | lam  0.022 | solved 1.00 | viol 721
[SafePPO seed=0] Ep 210 | ret   49.52 | cost 12.20 | lam  0.021 | solved 1.00 | viol 614
[SafePPO seed=0] Ep 215 | ret   51.13 | cost 10.44 | lam  0.021 | solved 1.00 | viol 614
[SafePPO seed=0] Ep 220 | ret   49.91 | cost  7.55 | lam  0.020 | solved 1.00 | viol 548
[SafePPO seed=0] Ep 225 | ret   46.34 | cost 14.48 | lam  0.019 | solved 0.97 | viol 631
[SafePPO seed=0] Ep 230 | ret   49.26 | cost  9.45 | lam  0.019 | solved 0.97 | viol 517
[SafePPO seed=0] Ep 235 | ret   47.50 | cost 14.49 | lam  0.018 | solved 1.00 | viol 637
[SafePPO seed=0] Ep 240 | ret   50.17 | cost  8.66 | lam  0.017 | solved 1.00 | viol 537
[SafePPO seed=0] Ep 245 | ret   52.97 | cost  6.59 | lam  0.017 | solved 1.00 | viol 505
[SafePPO seed=0] Ep 250 | ret   48.98 | cost 11.48 | lam  0.016 | solved 1.00 | viol 597
[SafePPO seed=0] Ep 255 | ret   51.06 | cost  9.79 | lam  0.016 | solved 1.00 | viol 534
[SafePPO seed=0] Ep 260 | ret   50.97 | cost  7.67 | lam  0.015 | solved 1.00 | viol 477
[SafePPO seed=0] Ep 265 | ret   51.42 | cost  6.89 | lam  0.015 | solved 1.00 | viol 544
[SafePPO seed=0] Ep 270 | ret   47.41 | cost 19.26 | lam  0.014 | solved 1.00 | viol 746
[SafePPO seed=0] Ep 275 | ret   47.50 | cost  7.94 | lam  0.014 | solved 1.00 | viol 576
[SafePPO seed=0] Ep 280 | ret   50.74 | cost  6.33 | lam  0.014 | solved 1.00 | viol 493
[SafePPO seed=0] Ep 285 | ret   49.69 | cost 13.60 | lam  0.013 | solved 1.00 | viol 609
[SafePPO seed=0] Ep 290 | ret   49.61 | cost 14.03 | lam  0.013 | solved 1.00 | viol 598
[SafePPO seed=0] Ep 295 | ret   50.91 | cost 10.81 | lam  0.012 | solved 1.00 | viol 551
[SafePPO seed=0] Ep 300 | ret   48.71 | cost  6.40 | lam  0.012 | solved 1.00 | viol 521
[SafePPO seed=0] done in 325.7s -> /Users/edwarb/projects/uni-project/deep-learning/finalproject-rl/DL/mountaincar-safe-rl/results/safe_S23/seed_0
