[SafePPO seed=0] Ep   5 | ret -175.04 | cost  0.00 | lam  0.905 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  10 | ret -168.72 | cost  0.00 | lam  0.820 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  15 | ret -163.87 | cost  0.00 | lam  0.744 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  20 | ret -158.86 | cost  0.00 | lam  0.677 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  25 | ret -153.70 | cost  0.00 | lam  0.618 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  30 | ret -151.54 | cost  0.00 | lam  0.566 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  35 | ret -151.50 | cost  0.00 | lam  0.520 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  40 | ret -149.53 | cost  0.00 | lam  0.480 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  45 | ret -149.99 | cost  0.00 | lam  0.444 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  50 | ret -149.30 | cost  0.00 | lam  0.413 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  55 | ret -153.80 | cost  0.00 | lam  0.385 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  60 | ret -149.41 | cost  0.00 | lam  0.360 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  65 | ret -148.79 | cost  0.00 | lam  0.337 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  70 | ret -138.98 | cost  0.00 | lam  0.317 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  75 | ret -133.81 | cost  0.25 | lam  0.299 | solved 0.00 | viol 28
[SafePPO seed=0] Ep  80 | ret  -96.25 | cost  6.45 | lam  0.282 | solved 0.15 | viol 342
[SafePPO seed=0] Ep  85 | ret  -87.01 | cost  7.86 | lam  0.268 | solved 0.25 | viol 336
[SafePPO seed=0] Ep  90 | ret  -28.25 | cost 13.62 | lam  0.256 | solved 0.76 | viol 416
[SafePPO seed=0] Ep  95 | ret   -4.49 | cost 24.43 | lam  0.247 | solved 0.82 | viol 628
[SafePPO seed=0] Ep 100 | ret  -18.48 | cost 23.18 | lam  0.240 | solved 0.70 | viol 603
[SafePPO seed=0] Ep 105 | ret   15.32 | cost 31.91 | lam  0.234 | solved 0.92 | viol 795
[SafePPO seed=0] Ep 110 | ret   33.73 | cost 33.21 | lam  0.231 | solved 1.00 | viol 816
[SafePPO seed=0] Ep 115 | ret   43.71 | cost 19.22 | lam  0.230 | solved 0.97 | viol 647
[SafePPO seed=0] Ep 120 | ret   46.86 | cost 21.98 | lam  0.229 | solved 1.00 | viol 731
[SafePPO seed=0] Ep 125 | ret   48.16 | cost 23.01 | lam  0.228 | solved 1.00 | viol 758
[SafePPO seed=0] Ep 130 | ret   46.32 | cost 28.74 | lam  0.228 | solved 1.00 | viol 811
[SafePPO seed=0] Ep 135 | ret   48.93 | cost 25.95 | lam  0.228 | solved 1.00 | viol 746
[SafePPO seed=0] Ep 140 | ret   49.56 | cost 23.18 | lam  0.228 | solved 1.00 | viol 728
[SafePPO seed=0] Ep 145 | ret   47.29 | cost 23.31 | lam  0.227 | solved 1.00 | viol 792
[SafePPO seed=0] Ep 150 | ret   48.75 | cost 20.02 | lam  0.226 | solved 1.00 | viol 713
