[SafePPO seed=2] Ep   5 | ret -173.81 | cost  0.00 | lam  0.780 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  10 | ret -171.93 | cost  0.00 | lam  0.612 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  15 | ret -179.54 | cost  0.00 | lam  0.487 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  20 | ret -165.29 | cost  0.00 | lam  0.394 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  25 | ret -176.25 | cost  0.00 | lam  0.324 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  30 | ret -172.53 | cost  0.00 | lam  0.271 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  35 | ret -169.75 | cost  0.00 | lam  0.231 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  40 | ret -171.92 | cost  0.00 | lam  0.200 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  45 | ret -166.74 | cost  0.00 | lam  0.176 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  50 | ret -166.74 | cost  0.00 | lam  0.156 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  55 | ret -166.26 | cost  0.00 | lam  0.140 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  60 | ret -171.00 | cost  0.00 | lam  0.127 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  65 | ret -165.93 | cost  0.00 | lam  0.116 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  70 | ret -167.24 | cost  0.00 | lam  0.107 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  75 | ret -161.17 | cost  0.00 | lam  0.098 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  80 | ret -154.15 | cost  0.00 | lam  0.091 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  85 | ret -147.84 | cost  0.00 | lam  0.085 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  90 | ret -146.82 | cost  0.00 | lam  0.080 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  95 | ret -146.27 | cost  0.00 | lam  0.075 | solved 0.00 | viol 0
[SafePPO seed=2] Ep 100 | ret -127.58 | cost  4.92 | lam  0.070 | solved 0.00 | viol 135
[SafePPO seed=2] Ep 105 | ret  -53.75 | cost 30.37 | lam  0.067 | solved 0.45 | viol 590
[SafePPO seed=2] Ep 110 | ret  -15.89 | cost 42.62 | lam  0.065 | solved 0.75 | viol 896
[SafePPO seed=2] Ep 115 | ret    9.25 | cost 47.81 | lam  0.064 | solved 0.92 | viol 1050
[SafePPO seed=2] Ep 120 | ret   23.08 | cost 63.28 | lam  0.064 | solved 1.00 | viol 1266
[SafePPO seed=2] Ep 125 | ret   29.17 | cost 62.45 | lam  0.066 | solved 1.00 | viol 1233
[SafePPO seed=2] Ep 130 | ret   32.45 | cost 64.63 | lam  0.068 | solved 1.00 | viol 1225
[SafePPO seed=2] Ep 135 | ret   37.00 | cost 49.08 | lam  0.071 | solved 1.00 | viol 1117
[SafePPO seed=2] Ep 140 | ret   41.34 | cost 43.97 | lam  0.075 | solved 1.00 | viol 1036
[SafePPO seed=2] Ep 145 | ret   43.69 | cost 30.73 | lam  0.078 | solved 1.00 | viol 893
[SafePPO seed=2] Ep 150 | ret   44.86 | cost 36.51 | lam  0.081 | solved 1.00 | viol 955
[SafePPO seed=2] Ep 155 | ret   42.78 | cost 34.18 | lam  0.083 | solved 1.00 | viol 941
[SafePPO seed=2] Ep 160 | ret   44.84 | cost 35.49 | lam  0.086 | solved 1.00 | viol 965
[SafePPO seed=2] Ep 165 | ret   46.39 | cost 32.04 | lam  0.089 | solved 1.00 | viol 923
[SafePPO seed=2] Ep 170 | ret   44.14 | cost 36.97 | lam  0.091 | solved 1.00 | viol 970
[SafePPO seed=2] Ep 175 | ret   44.67 | cost 36.94 | lam  0.094 | solved 1.00 | viol 982
[SafePPO seed=2] Ep 180 | ret   50.31 | cost 28.20 | lam  0.097 | solved 1.00 | viol 859
[SafePPO seed=2] Ep 185 | ret   47.32 | cost 28.47 | lam  0.099 | solved 1.00 | viol 887
