[SafePPO seed=1] Ep   5 | ret -173.02 | cost  0.00 | lam  0.333 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  10 | ret -166.58 | cost  0.00 | lam  0.302 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  15 | ret -163.70 | cost  0.00 | lam  0.274 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  20 | ret -164.43 | cost  0.00 | lam  0.249 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  25 | ret -160.68 | cost  0.00 | lam  0.227 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  30 | ret -156.05 | cost  0.00 | lam  0.208 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  35 | ret -158.65 | cost  0.00 | lam  0.191 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  40 | ret -155.02 | cost  0.00 | lam  0.177 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  45 | ret -156.33 | cost  0.00 | lam  0.164 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  50 | ret -157.89 | cost  0.00 | lam  0.152 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  55 | ret -155.42 | cost  0.00 | lam  0.142 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  60 | ret -150.22 | cost  0.00 | lam  0.132 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  65 | ret -154.69 | cost  0.00 | lam  0.124 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  70 | ret -155.32 | cost  0.00 | lam  0.117 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  75 | ret -149.35 | cost  0.00 | lam  0.110 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  80 | ret -151.98 | cost  0.00 | lam  0.104 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  85 | ret -151.40 | cost  0.00 | lam  0.098 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  90 | ret -147.28 | cost  0.00 | lam  0.093 | solved 0.00 | viol 0
[SafePPO seed=1] Ep  95 | ret -146.96 | cost  0.00 | lam  0.088 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 100 | ret -148.84 | cost  0.00 | lam  0.084 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 105 | ret -148.75 | cost  0.00 | lam  0.080 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 110 | ret -145.47 | cost  0.00 | lam  0.077 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 115 | ret -147.48 | cost  0.00 | lam  0.073 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 120 | ret -141.35 | cost  0.00 | lam  0.070 | solved 0.00 | viol 0
[SafePPO seed=1] Ep 125 | ret -118.24 | cost  1.04 | lam  0.067 | solved 0.10 | viol 88
[SafePPO seed=1] Ep 130 | ret  -29.48 | cost 11.98 | lam  0.064 | solved 0.75 | viol 445
[SafePPO seed=1] Ep 135 | ret  -17.20 | cost 22.34 | lam  0.062 | solved 0.81 | viol 607
[SafePPO seed=1] Ep 140 | ret    3.83 | cost 37.07 | lam  0.061 | solved 0.91 | viol 893
[SafePPO seed=1] Ep 145 | ret   22.36 | cost 44.64 | lam  0.060 | solved 0.96 | viol 887
[SafePPO seed=1] Ep 150 | ret   36.72 | cost 29.47 | lam  0.060 | solved 0.97 | viol 756
[SafePPO seed=1] Ep 155 | ret   36.74 | cost 40.96 | lam  0.060 | solved 1.00 | viol 969
[SafePPO seed=1] Ep 160 | ret   43.27 | cost 28.82 | lam  0.060 | solved 1.00 | viol 801
[SafePPO seed=1] Ep 165 | ret   49.90 | cost 23.03 | lam  0.060 | solved 1.00 | viol 731
[SafePPO seed=1] Ep 170 | ret   42.96 | cost 36.68 | lam  0.061 | solved 1.00 | viol 914
[SafePPO seed=1] Ep 175 | ret   48.02 | cost 28.75 | lam  0.061 | solved 1.00 | viol 808
[SafePPO seed=1] Ep 180 | ret   48.81 | cost 27.24 | lam  0.062 | solved 1.00 | viol 825
