[SafePPO seed=2] Ep   5 | ret -173.81 | cost  0.00 | lam  0.333 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  10 | ret -171.93 | cost  0.00 | lam  0.302 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  15 | ret -179.54 | cost  0.00 | lam  0.274 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  20 | ret -165.29 | cost  0.00 | lam  0.249 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  25 | ret -176.25 | cost  0.00 | lam  0.227 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  30 | ret -172.53 | cost  0.00 | lam  0.208 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  35 | ret -169.75 | cost  0.00 | lam  0.191 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  40 | ret -171.92 | cost  0.00 | lam  0.177 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  45 | ret -166.74 | cost  0.00 | lam  0.164 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  50 | ret -166.74 | cost  0.00 | lam  0.152 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  55 | ret -166.26 | cost  0.00 | lam  0.142 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  60 | ret -171.00 | cost  0.00 | lam  0.132 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  65 | ret -165.93 | cost  0.00 | lam  0.124 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  70 | ret -167.24 | cost  0.00 | lam  0.117 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  75 | ret -161.17 | cost  0.00 | lam  0.110 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  80 | ret -154.15 | cost  0.00 | lam  0.104 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  85 | ret -147.84 | cost  0.00 | lam  0.098 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  90 | ret -146.82 | cost  0.00 | lam  0.093 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  95 | ret -146.27 | cost  0.00 | lam  0.088 | solved 0.00 | viol 0
[SafePPO seed=2] Ep 100 | ret -127.01 | cost  5.73 | lam  0.084 | solved 0.00 | viol 153
[SafePPO seed=2] Ep 105 | ret  -53.55 | cost 27.18 | lam  0.081 | solved 0.50 | viol 602
[SafePPO seed=2] Ep 110 | ret    7.74 | cost 45.03 | lam  0.079 | solved 0.92 | viol 982
[SafePPO seed=2] Ep 115 | ret   13.84 | cost 57.87 | lam  0.078 | solved 0.92 | viol 1114
[SafePPO seed=2] Ep 120 | ret   26.90 | cost 57.44 | lam  0.079 | solved 1.00 | viol 1170
[SafePPO seed=2] Ep 125 | ret   32.67 | cost 56.38 | lam  0.081 | solved 1.00 | viol 1147
[SafePPO seed=2] Ep 130 | ret   39.68 | cost 45.98 | lam  0.083 | solved 1.00 | viol 1042
[SafePPO seed=2] Ep 135 | ret   39.40 | cost 42.48 | lam  0.085 | solved 1.00 | viol 991
[SafePPO seed=2] Ep 140 | ret   42.09 | cost 35.90 | lam  0.088 | solved 1.00 | viol 980
[SafePPO seed=2] Ep 145 | ret   45.43 | cost 29.16 | lam  0.090 | solved 1.00 | viol 892
[SafePPO seed=2] Ep 150 | ret   44.54 | cost 37.76 | lam  0.092 | solved 1.00 | viol 962
[SafePPO seed=2] Ep 155 | ret   42.65 | cost 37.29 | lam  0.094 | solved 1.00 | viol 986
[SafePPO seed=2] Ep 160 | ret   45.56 | cost 32.03 | lam  0.096 | solved 1.00 | viol 912
[SafePPO seed=2] Ep 165 | ret   45.66 | cost 34.35 | lam  0.098 | solved 1.00 | viol 940
[SafePPO seed=2] Ep 170 | ret   46.93 | cost 37.19 | lam  0.100 | solved 1.00 | viol 948
[SafePPO seed=2] Ep 175 | ret   45.21 | cost 33.98 | lam  0.102 | solved 1.00 | viol 963
[SafePPO seed=2] Ep 180 | ret   48.05 | cost 31.19 | lam  0.103 | solved 1.00 | viol 844
[SafePPO seed=2] Ep 185 | ret   45.70 | cost 32.82 | lam  0.105 | solved 1.00 | viol 917
[SafePPO seed=2] Ep 190 | ret   47.42 | cost 28.01 | lam  0.107 | solved 1.00 | viol 851
[SafePPO seed=2] Ep 195 | ret   46.73 | cost 28.42 | lam  0.109 | solved 1.00 | viol 884
[SafePPO seed=2] Ep 200 | ret   48.50 | cost 33.66 | lam  0.111 | solved 1.00 | viol 907
[SafePPO seed=2] Ep 205 | ret   45.93 | cost 32.93 | lam  0.113 | solved 1.00 | viol 928
[SafePPO seed=2] Ep 210 | ret   46.50 | cost 29.81 | lam  0.115 | solved 1.00 | viol 896
[SafePPO seed=2] Ep 215 | ret   47.24 | cost 27.10 | lam  0.117 | solved 1.00 | viol 880
[SafePPO seed=2] Ep 220 | ret   49.13 | cost 29.58 | lam  0.119 | solved 1.00 | viol 919
[SafePPO seed=2] Ep 225 | ret   47.05 | cost 30.02 | lam  0.121 | solved 1.00 | viol 896
[SafePPO seed=2] Ep 230 | ret   47.91 | cost 29.24 | lam  0.123 | solved 1.00 | viol 849
[SafePPO seed=2] Ep 235 | ret   47.05 | cost 32.53 | lam  0.124 | solved 1.00 | viol 921
[SafePPO seed=2] Ep 240 | ret   46.18 | cost 33.81 | lam  0.125 | solved 1.00 | viol 913
[SafePPO seed=2] Ep 245 | ret   48.01 | cost 28.79 | lam  0.126 | solved 1.00 | viol 853
[SafePPO seed=2] Ep 250 | ret   49.60 | cost 21.97 | lam  0.128 | solved 1.00 | viol 797
[SafePPO seed=2] Ep 255 | ret   47.13 | cost 26.79 | lam  0.128 | solved 1.00 | viol 864
[SafePPO seed=2] Ep 260 | ret   52.20 | cost 18.42 | lam  0.129 | solved 1.00 | viol 688
[SafePPO seed=2] Ep 265 | ret   50.65 | cost 19.82 | lam  0.129 | solved 1.00 | viol 738
[SafePPO seed=2] Ep 270 | ret   49.48 | cost 25.58 | lam  0.128 | solved 1.00 | viol 793
[SafePPO seed=2] Ep 275 | ret   49.59 | cost 26.67 | lam  0.127 | solved 1.00 | viol 805
[SafePPO seed=2] Ep 280 | ret   50.35 | cost 20.74 | lam  0.125 | solved 1.00 | viol 798
[SafePPO seed=2] Ep 285 | ret   46.22 | cost 27.29 | lam  0.124 | solved 1.00 | viol 858
[SafePPO seed=2] Ep 290 | ret   48.97 | cost 19.04 | lam  0.122 | solved 1.00 | viol 776
[SafePPO seed=2] Ep 295 | ret   48.70 | cost 19.33 | lam  0.119 | solved 1.00 | viol 753
[SafePPO seed=2] Ep 300 | ret   46.43 | cost 28.74 | lam  0.116 | solved 1.00 | viol 948
[SafePPO seed=2] done in 340.4s -> /Users/edwarb/projects/uni-project/deep-learning/finalproject-rl/DL/mountaincar-safe-rl/results/safe_S19/seed_2
