[SafePPO seed=0] Ep   5 | ret -175.04 | cost  0.00 | lam  0.861 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  10 | ret -168.72 | cost  0.00 | lam  0.743 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  15 | ret -163.87 | cost  0.00 | lam  0.644 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  20 | ret -158.86 | cost  0.00 | lam  0.562 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  25 | ret -153.70 | cost  0.00 | lam  0.493 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  30 | ret -151.54 | cost  0.00 | lam  0.436 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  35 | ret -151.50 | cost  0.00 | lam  0.389 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  40 | ret -149.53 | cost  0.00 | lam  0.349 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  45 | ret -149.99 | cost  0.00 | lam  0.315 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  50 | ret -149.30 | cost  0.00 | lam  0.287 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  55 | ret -153.80 | cost  0.00 | lam  0.263 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  60 | ret -149.41 | cost  0.00 | lam  0.241 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  65 | ret -148.79 | cost  0.00 | lam  0.223 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  70 | ret -138.98 | cost  0.00 | lam  0.207 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  75 | ret -133.42 | cost  0.37 | lam  0.193 | solved 0.00 | viol 52
[SafePPO seed=0] Ep  80 | ret  -66.81 | cost 10.23 | lam  0.181 | solved 0.45 | viol 387
[SafePPO seed=0] Ep  85 | ret  -16.47 | cost 19.92 | lam  0.171 | solved 0.85 | viol 551
[SafePPO seed=0] Ep  90 | ret   -1.05 | cost 23.41 | lam  0.164 | solved 0.80 | viol 651
[SafePPO seed=0] Ep  95 | ret   17.66 | cost 42.78 | lam  0.159 | solved 0.92 | viol 895
[SafePPO seed=0] Ep 100 | ret   37.02 | cost 29.83 | lam  0.156 | solved 1.00 | viol 816
[SafePPO seed=0] Ep 105 | ret   39.42 | cost 34.39 | lam  0.155 | solved 1.00 | viol 845
[SafePPO seed=0] Ep 110 | ret   46.67 | cost 23.40 | lam  0.155 | solved 1.00 | viol 745
[SafePPO seed=0] Ep 115 | ret   46.12 | cost 26.48 | lam  0.155 | solved 1.00 | viol 806
[SafePPO seed=0] Ep 120 | ret   44.93 | cost 30.32 | lam  0.156 | solved 1.00 | viol 872
[SafePPO seed=0] Ep 125 | ret   46.96 | cost 27.89 | lam  0.157 | solved 1.00 | viol 843
[SafePPO seed=0] Ep 130 | ret   47.85 | cost 30.02 | lam  0.158 | solved 1.00 | viol 789
[SafePPO seed=0] Ep 135 | ret   46.34 | cost 34.31 | lam  0.160 | solved 1.00 | viol 875
[SafePPO seed=0] Ep 140 | ret   47.41 | cost 26.68 | lam  0.161 | solved 1.00 | viol 827
[SafePPO seed=0] Ep 145 | ret   45.21 | cost 30.89 | lam  0.162 | solved 1.00 | viol 895
[SafePPO seed=0] Ep 150 | ret   48.85 | cost 25.46 | lam  0.162 | solved 1.00 | viol 812
[SafePPO seed=0] Ep 155 | ret   49.40 | cost 18.35 | lam  0.162 | solved 1.00 | viol 719
[SafePPO seed=0] Ep 160 | ret   52.36 | cost 15.35 | lam  0.161 | solved 1.00 | viol 674
[SafePPO seed=0] Ep 165 | ret   47.38 | cost 19.44 | lam  0.159 | solved 1.00 | viol 722
[SafePPO seed=0] Ep 170 | ret   45.83 | cost 23.98 | lam  0.156 | solved 1.00 | viol 754
[SafePPO seed=0] Ep 175 | ret   47.96 | cost 19.24 | lam  0.153 | solved 1.00 | viol 721
[SafePPO seed=0] Ep 180 | ret   49.86 | cost 17.26 | lam  0.150 | solved 1.00 | viol 659
[SafePPO seed=0] Ep 185 | ret   52.25 | cost  8.14 | lam  0.146 | solved 1.00 | viol 521
[SafePPO seed=0] Ep 190 | ret   51.33 | cost 15.78 | lam  0.141 | solved 1.00 | viol 669
[SafePPO seed=0] Ep 195 | ret   50.30 | cost 10.89 | lam  0.137 | solved 1.00 | viol 587
[SafePPO seed=0] Ep 200 | ret   49.80 | cost  7.69 | lam  0.133 | solved 1.00 | viol 532
[SafePPO seed=0] Ep 205 | ret   45.97 | cost 20.92 | lam  0.129 | solved 1.00 | viol 790
[SafePPO seed=0] Ep 210 | ret   45.92 | cost 19.81 | lam  0.126 | solved 1.00 | viol 747
[SafePPO seed=0] Ep 215 | ret   50.77 | cost  7.57 | lam  0.123 | solved 1.00 | viol 541
[SafePPO seed=0] Ep 220 | ret   49.02 | cost  6.91 | lam  0.119 | solved 1.00 | viol 529
[SafePPO seed=0] Ep 225 | ret   47.19 | cost 14.09 | lam  0.114 | solved 1.00 | viol 603
[SafePPO seed=0] Ep 230 | ret   46.64 | cost 20.67 | lam  0.110 | solved 1.00 | viol 743
[SafePPO seed=0] Ep 235 | ret   48.23 | cost  7.34 | lam  0.107 | solved 1.00 | viol 528
[SafePPO seed=0] Ep 240 | ret   48.08 | cost  9.62 | lam  0.103 | solved 1.00 | viol 567
[SafePPO seed=0] Ep 245 | ret   52.24 | cost  6.58 | lam  0.099 | solved 1.00 | viol 441
[SafePPO seed=0] Ep 250 | ret   45.50 | cost 12.26 | lam  0.096 | solved 1.00 | viol 672
[SafePPO seed=0] Ep 255 | ret   50.07 | cost  7.27 | lam  0.093 | solved 1.00 | viol 487
[SafePPO seed=0] Ep 260 | ret   51.96 | cost  7.15 | lam  0.089 | solved 1.00 | viol 461
[SafePPO seed=0] Ep 265 | ret   51.44 | cost  5.51 | lam  0.086 | solved 1.00 | viol 500
[SafePPO seed=0] Ep 270 | ret   52.21 | cost  7.09 | lam  0.083 | solved 1.00 | viol 484
[SafePPO seed=0] Ep 275 | ret   42.02 | cost 26.39 | lam  0.080 | solved 1.00 | viol 862
[SafePPO seed=0] Ep 280 | ret   49.50 | cost  6.38 | lam  0.078 | solved 1.00 | viol 525
[SafePPO seed=0] Ep 285 | ret   50.18 | cost  8.43 | lam  0.076 | solved 1.00 | viol 567
[SafePPO seed=0] Ep 290 | ret   50.28 | cost  6.37 | lam  0.074 | solved 1.00 | viol 476
[SafePPO seed=0] Ep 295 | ret   51.33 | cost  7.19 | lam  0.072 | solved 1.00 | viol 505
[SafePPO seed=0] Ep 300 | ret   43.03 | cost 26.84 | lam  0.070 | solved 1.00 | viol 841
[SafePPO seed=0] done in 322.9s -> /Users/edwarb/projects/uni-project/deep-learning/finalproject-rl/DL/mountaincar-safe-rl/results/safe_S22/seed_0
