[SafePPO seed=2] Ep   5 | ret -173.81 | cost  0.00 | lam  0.287 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  10 | ret -171.93 | cost  0.00 | lam  0.225 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  15 | ret -179.54 | cost  0.00 | lam  0.179 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  20 | ret -165.29 | cost  0.00 | lam  0.145 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  25 | ret -176.25 | cost  0.00 | lam  0.119 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  30 | ret -172.53 | cost  0.00 | lam  0.100 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  35 | ret -169.75 | cost  0.00 | lam  0.085 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  40 | ret -171.92 | cost  0.00 | lam  0.074 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  45 | ret -166.74 | cost  0.00 | lam  0.065 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  50 | ret -166.74 | cost  0.00 | lam  0.057 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  55 | ret -166.26 | cost  0.00 | lam  0.052 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  60 | ret -171.00 | cost  0.00 | lam  0.047 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  65 | ret -165.93 | cost  0.00 | lam  0.043 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  70 | ret -167.24 | cost  0.00 | lam  0.039 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  75 | ret -161.17 | cost  0.00 | lam  0.036 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  80 | ret -154.15 | cost  0.00 | lam  0.034 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  85 | ret -147.84 | cost  0.00 | lam  0.031 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  90 | ret -146.82 | cost  0.00 | lam  0.029 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  95 | ret -146.27 | cost  0.00 | lam  0.027 | solved 0.00 | viol 0
[SafePPO seed=2] Ep 100 | ret -126.56 | cost  5.94 | lam  0.026 | solved 0.00 | viol 167
[SafePPO seed=2] Ep 105 | ret  -59.56 | cost 27.33 | lam  0.025 | solved 0.45 | viol 573
[SafePPO seed=2] Ep 110 | ret    2.81 | cost 48.11 | lam  0.024 | solved 0.88 | viol 1016
[SafePPO seed=2] Ep 115 | ret   21.74 | cost 51.80 | lam  0.024 | solved 1.00 | viol 1093
[SafePPO seed=2] Ep 120 | ret   25.54 | cost 63.47 | lam  0.024 | solved 1.00 | viol 1275
[SafePPO seed=2] Ep 125 | ret   29.59 | cost 60.27 | lam  0.024 | solved 1.00 | viol 1217
[SafePPO seed=2] Ep 130 | ret   32.69 | cost 62.04 | lam  0.025 | solved 1.00 | viol 1246
[SafePPO seed=2] Ep 135 | ret   34.16 | cost 50.72 | lam  0.026 | solved 1.00 | viol 1112
[SafePPO seed=2] Ep 140 | ret   41.37 | cost 49.80 | lam  0.028 | solved 1.00 | viol 1080
[SafePPO seed=2] Ep 145 | ret   44.61 | cost 35.40 | lam  0.029 | solved 1.00 | viol 960
[SafePPO seed=2] Ep 150 | ret   43.82 | cost 41.88 | lam  0.030 | solved 1.00 | viol 1029
[SafePPO seed=2] Ep 155 | ret   43.75 | cost 35.02 | lam  0.032 | solved 1.00 | viol 959
[SafePPO seed=2] Ep 160 | ret   44.01 | cost 34.84 | lam  0.033 | solved 1.00 | viol 983
[SafePPO seed=2] Ep 165 | ret   45.86 | cost 37.46 | lam  0.034 | solved 1.00 | viol 993
[SafePPO seed=2] Ep 170 | ret   47.06 | cost 27.36 | lam  0.035 | solved 1.00 | viol 877
[SafePPO seed=2] Ep 175 | ret   45.84 | cost 35.85 | lam  0.037 | solved 1.00 | viol 970
[SafePPO seed=2] Ep 180 | ret   46.82 | cost 31.66 | lam  0.038 | solved 1.00 | viol 946
[SafePPO seed=2] Ep 185 | ret   44.18 | cost 32.53 | lam  0.039 | solved 1.00 | viol 922
[SafePPO seed=2] Ep 190 | ret   45.76 | cost 33.06 | lam  0.041 | solved 1.00 | viol 925
[SafePPO seed=2] Ep 195 | ret   44.55 | cost 35.03 | lam  0.042 | solved 1.00 | viol 983
[SafePPO seed=2] Ep 200 | ret   49.92 | cost 26.61 | lam  0.044 | solved 1.00 | viol 817
[SafePPO seed=2] Ep 205 | ret   47.11 | cost 33.85 | lam  0.045 | solved 1.00 | viol 940
[SafePPO seed=2] Ep 210 | ret   45.46 | cost 38.13 | lam  0.047 | solved 1.00 | viol 981
[SafePPO seed=2] Ep 215 | ret   46.37 | cost 32.04 | lam  0.048 | solved 1.00 | viol 909
[SafePPO seed=2] Ep 220 | ret   49.31 | cost 28.72 | lam  0.050 | solved 1.00 | viol 813
[SafePPO seed=2] Ep 225 | ret   48.12 | cost 28.97 | lam  0.051 | solved 1.00 | viol 890
[SafePPO seed=2] Ep 230 | ret   47.82 | cost 28.61 | lam  0.053 | solved 1.00 | viol 847
[SafePPO seed=2] Ep 235 | ret   49.17 | cost 27.44 | lam  0.054 | solved 1.00 | viol 829
[SafePPO seed=2] Ep 240 | ret   51.20 | cost 19.58 | lam  0.055 | solved 1.00 | viol 751
[SafePPO seed=2] Ep 245 | ret   46.83 | cost 24.82 | lam  0.056 | solved 1.00 | viol 861
[SafePPO seed=2] Ep 250 | ret   48.33 | cost 19.76 | lam  0.058 | solved 1.00 | viol 779
[SafePPO seed=2] Ep 255 | ret   50.40 | cost 21.48 | lam  0.058 | solved 1.00 | viol 785
[SafePPO seed=2] Ep 260 | ret   50.16 | cost 21.93 | lam  0.058 | solved 1.00 | viol 734
[SafePPO seed=2] Ep 265 | ret   49.39 | cost 21.31 | lam  0.057 | solved 1.00 | viol 769
[SafePPO seed=2] Ep 270 | ret   48.53 | cost 25.42 | lam  0.057 | solved 1.00 | viol 865
[SafePPO seed=2] Ep 275 | ret   48.20 | cost 23.06 | lam  0.057 | solved 1.00 | viol 798
[SafePPO seed=2] Ep 280 | ret   49.90 | cost 20.36 | lam  0.056 | solved 1.00 | viol 782
[SafePPO seed=2] Ep 285 | ret   49.35 | cost 15.92 | lam  0.054 | solved 1.00 | viol 703
[SafePPO seed=2] Ep 290 | ret   48.72 | cost 23.06 | lam  0.053 | solved 1.00 | viol 808
[SafePPO seed=2] Ep 295 | ret   49.49 | cost 17.50 | lam  0.051 | solved 1.00 | viol 711
[SafePPO seed=2] Ep 300 | ret   50.46 | cost 12.37 | lam  0.049 | solved 1.00 | viol 682
