[SafePPO seed=2] Ep   5 | ret -173.81 | cost  0.00 | lam  0.317 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  10 | ret -171.93 | cost  0.00 | lam  0.273 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  15 | ret -179.54 | cost  0.00 | lam  0.237 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  20 | ret -165.29 | cost  0.00 | lam  0.207 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  25 | ret -176.25 | cost  0.00 | lam  0.181 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  30 | ret -172.53 | cost  0.00 | lam  0.160 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  35 | ret -169.75 | cost  0.00 | lam  0.143 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  40 | ret -171.92 | cost  0.00 | lam  0.128 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  45 | ret -166.74 | cost  0.00 | lam  0.116 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  50 | ret -166.74 | cost  0.00 | lam  0.106 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  55 | ret -166.26 | cost  0.00 | lam  0.097 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  60 | ret -171.00 | cost  0.00 | lam  0.089 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  65 | ret -165.93 | cost  0.00 | lam  0.082 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  70 | ret -167.24 | cost  0.00 | lam  0.076 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  75 | ret -161.17 | cost  0.00 | lam  0.071 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  80 | ret -154.15 | cost  0.00 | lam  0.066 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  85 | ret -147.84 | cost  0.00 | lam  0.062 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  90 | ret -146.82 | cost  0.00 | lam  0.058 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  95 | ret -146.27 | cost  0.00 | lam  0.055 | solved 0.00 | viol 0
[SafePPO seed=2] Ep 100 | ret -126.61 | cost  5.86 | lam  0.052 | solved 0.00 | viol 161
[SafePPO seed=2] Ep 105 | ret  -38.14 | cost 30.54 | lam  0.050 | solved 0.59 | viol 677
[SafePPO seed=2] Ep 110 | ret    3.08 | cost 42.98 | lam  0.048 | solved 0.88 | viol 990
[SafePPO seed=2] Ep 115 | ret   20.07 | cost 57.70 | lam  0.048 | solved 0.96 | viol 1206
[SafePPO seed=2] Ep 120 | ret   19.30 | cost 65.64 | lam  0.048 | solved 0.96 | viol 1260
[SafePPO seed=2] Ep 125 | ret   28.05 | cost 56.39 | lam  0.049 | solved 1.00 | viol 1168
[SafePPO seed=2] Ep 130 | ret   31.65 | cost 69.30 | lam  0.051 | solved 1.00 | viol 1298
[SafePPO seed=2] Ep 135 | ret   37.72 | cost 45.31 | lam  0.054 | solved 1.00 | viol 1077
[SafePPO seed=2] Ep 140 | ret   39.00 | cost 52.09 | lam  0.056 | solved 1.00 | viol 1124
[SafePPO seed=2] Ep 145 | ret   43.22 | cost 41.19 | lam  0.058 | solved 1.00 | viol 1014
[SafePPO seed=2] Ep 150 | ret   45.56 | cost 30.34 | lam  0.060 | solved 1.00 | viol 909
[SafePPO seed=2] Ep 155 | ret   43.13 | cost 36.72 | lam  0.063 | solved 1.00 | viol 982
[SafePPO seed=2] Ep 160 | ret   43.56 | cost 38.06 | lam  0.065 | solved 1.00 | viol 994
[SafePPO seed=2] Ep 165 | ret   46.18 | cost 34.46 | lam  0.066 | solved 1.00 | viol 945
[SafePPO seed=2] Ep 170 | ret   44.59 | cost 35.72 | lam  0.068 | solved 1.00 | viol 960
[SafePPO seed=2] Ep 175 | ret   45.17 | cost 33.40 | lam  0.070 | solved 1.00 | viol 977
[SafePPO seed=2] Ep 180 | ret   49.04 | cost 24.79 | lam  0.072 | solved 1.00 | viol 801
[SafePPO seed=2] Ep 185 | ret   47.01 | cost 29.52 | lam  0.074 | solved 1.00 | viol 867
[SafePPO seed=2] Ep 190 | ret   45.71 | cost 33.14 | lam  0.075 | solved 1.00 | viol 918
[SafePPO seed=2] Ep 195 | ret   49.11 | cost 26.35 | lam  0.077 | solved 1.00 | viol 824
[SafePPO seed=2] Ep 200 | ret   48.66 | cost 30.62 | lam  0.079 | solved 1.00 | viol 885
[SafePPO seed=2] Ep 205 | ret   43.25 | cost 35.75 | lam  0.080 | solved 1.00 | viol 931
[SafePPO seed=2] Ep 210 | ret   49.67 | cost 26.76 | lam  0.082 | solved 1.00 | viol 836
[SafePPO seed=2] Ep 215 | ret   49.45 | cost 24.60 | lam  0.083 | solved 1.00 | viol 812
[SafePPO seed=2] Ep 220 | ret   48.37 | cost 29.81 | lam  0.084 | solved 1.00 | viol 842
[SafePPO seed=2] Ep 225 | ret   49.56 | cost 25.80 | lam  0.085 | solved 1.00 | viol 800
