[SafePPO seed=0] Ep   5 | ret -175.04 | cost  0.00 | lam  0.780 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  10 | ret -168.72 | cost  0.00 | lam  0.612 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  15 | ret -163.87 | cost  0.00 | lam  0.487 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  20 | ret -158.86 | cost  0.00 | lam  0.394 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  25 | ret -153.70 | cost  0.00 | lam  0.324 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  30 | ret -151.54 | cost  0.00 | lam  0.271 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  35 | ret -151.50 | cost  0.00 | lam  0.231 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  40 | ret -149.53 | cost  0.00 | lam  0.200 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  45 | ret -149.99 | cost  0.00 | lam  0.176 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  50 | ret -149.30 | cost  0.00 | lam  0.156 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  55 | ret -153.80 | cost  0.00 | lam  0.140 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  60 | ret -149.41 | cost  0.00 | lam  0.127 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  65 | ret -148.79 | cost  0.00 | lam  0.116 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  70 | ret -138.98 | cost  0.00 | lam  0.107 | solved 0.00 | viol 0
[SafePPO seed=0] Ep  75 | ret -130.98 | cost  0.25 | lam  0.098 | solved 0.00 | viol 41
[SafePPO seed=0] Ep  80 | ret  -51.53 | cost 10.68 | lam  0.092 | solved 0.55 | viol 439
[SafePPO seed=0] Ep  85 | ret   -8.72 | cost 19.21 | lam  0.086 | solved 0.90 | viol 598
[SafePPO seed=0] Ep  90 | ret  -11.46 | cost 25.48 | lam  0.082 | solved 0.86 | viol 711
[SafePPO seed=0] Ep  95 | ret   21.23 | cost 21.03 | lam  0.079 | solved 0.96 | viol 671
[SafePPO seed=0] Ep 100 | ret   30.09 | cost 33.08 | lam  0.078 | solved 0.96 | viol 795
[SafePPO seed=0] Ep 105 | ret   30.40 | cost 37.14 | lam  0.077 | solved 0.97 | viol 903
[SafePPO seed=0] Ep 110 | ret   45.80 | cost 26.34 | lam  0.077 | solved 1.00 | viol 812
[SafePPO seed=0] Ep 115 | ret   43.98 | cost 33.47 | lam  0.077 | solved 1.00 | viol 846
[SafePPO seed=0] Ep 120 | ret   46.52 | cost 30.40 | lam  0.077 | solved 1.00 | viol 849
[SafePPO seed=0] Ep 125 | ret   48.68 | cost 24.38 | lam  0.077 | solved 1.00 | viol 811
[SafePPO seed=0] Ep 130 | ret   48.11 | cost 26.42 | lam  0.078 | solved 1.00 | viol 818
[SafePPO seed=0] Ep 135 | ret   47.78 | cost 24.03 | lam  0.078 | solved 1.00 | viol 800
[SafePPO seed=0] Ep 140 | ret   53.18 | cost 17.28 | lam  0.078 | solved 1.00 | viol 706
[SafePPO seed=0] Ep 145 | ret   45.13 | cost 28.20 | lam  0.078 | solved 1.00 | viol 877
[SafePPO seed=0] Ep 150 | ret   47.77 | cost 28.36 | lam  0.078 | solved 1.00 | viol 831
[SafePPO seed=0] Ep 155 | ret   48.17 | cost 27.29 | lam  0.078 | solved 1.00 | viol 843
[SafePPO seed=0] Ep 160 | ret   51.67 | cost 21.43 | lam  0.078 | solved 1.00 | viol 737
