[SafePPO seed=2] Ep   5 | ret -173.81 | cost  0.00 | lam  0.861 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  10 | ret -171.93 | cost  0.00 | lam  0.743 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  15 | ret -179.54 | cost  0.00 | lam  0.644 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  20 | ret -165.29 | cost  0.00 | lam  0.562 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  25 | ret -176.25 | cost  0.00 | lam  0.493 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  30 | ret -172.53 | cost  0.00 | lam  0.436 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  35 | ret -169.75 | cost  0.00 | lam  0.389 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  40 | ret -171.92 | cost  0.00 | lam  0.349 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  45 | ret -166.74 | cost  0.00 | lam  0.315 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  50 | ret -166.74 | cost  0.00 | lam  0.287 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  55 | ret -166.26 | cost  0.00 | lam  0.263 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  60 | ret -171.00 | cost  0.00 | lam  0.241 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  65 | ret -165.93 | cost  0.00 | lam  0.223 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  70 | ret -167.24 | cost  0.00 | lam  0.207 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  75 | ret -161.17 | cost  0.00 | lam  0.193 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  80 | ret -154.15 | cost  0.00 | lam  0.180 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  85 | ret -147.84 | cost  0.00 | lam  0.169 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  90 | ret -146.82 | cost  0.00 | lam  0.159 | solved 0.00 | viol 0
[SafePPO seed=2] Ep  95 | ret -146.27 | cost  0.00 | lam  0.150 | solved 0.00 | viol 0
[SafePPO seed=2] Ep 100 | ret -128.21 | cost  4.25 | lam  0.142 | solved 0.00 | viol 125
[SafePPO seed=2] Ep 105 | ret  -57.06 | cost 29.74 | lam  0.135 | solved 0.45 | viol 598
[SafePPO seed=2] Ep 110 | ret  -15.69 | cost 44.54 | lam  0.131 | solved 0.75 | viol 911
[SafePPO seed=2] Ep 115 | ret    8.17 | cost 46.54 | lam  0.129 | solved 0.92 | viol 1030
[SafePPO seed=2] Ep 120 | ret   19.49 | cost 62.38 | lam  0.130 | solved 0.96 | viol 1194
